date(日期),time(时间),s-ip(服务器 IP 地址),cs-method(请求方法),cs-uri-stem(URI 资源 ),cs-uri-query(URI 查询),s-port(服务器端口),c-ip(客户端 IP 地址),cs(User-Agent)(浏览器类型),sc-status(状态码)
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/logs/,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/qgdevgklxd,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/help/,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/bchudflxuz,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:26,10.115.98.108,GET,/BZF/HSIS/,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:33,10.115.98.108,GET,/Reg/Main,-,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:33,10.115.98.108,GET,/Reg/Main/ShowExpire,_=1676613330956,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:36,10.115.98.108,GET,/Reg/Case/CaseToDoMain,_=1676613330957,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Case/CaseDetail,caseId=152302150035&_=1676613330958,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/swfupload/swfupload.js,_=1676613330959,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/swfupload/swfupload.queue.js,_=1676613330960,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ1.js,_=1676613330961,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ2.js,_=1676613330962,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ3.js,_=1676613330963,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:38,10.115.98.108,GET,/Reg/Content/scripts/app/SwfuploadContractFJ8.js,_=1676613330964,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:44,10.115.98.108,GET,/favicon.ico,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/GetImageCode,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:56:45,10.115.98.108,GET,/favicon.ico,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:45,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:46,10.115.98.108,GET,/BZF/Hsis/Regist,-,881,106.6.165.59,Mozilla/5.0+(Windows+NT+10.0;+rv:78.0)+Gecko/20100101+Firefox/78.0,200
2023-02-17,05:56:56,10.115.98.108,GET,/Reg/Contract/RegImageView,id=105976,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:56:59,10.115.98.108,GET,/Reg/Contract/RegImageView,id=105977,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:57:03,10.115.98.108,GET,/Reg/Contract/ContractEditDialog,Action=Sign&_=1676613330965,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:57:09,::1,GET,/Reg/ApiYszjjg/Fdc/CheckWSQY,action=developer&DeveloperID=10161&buildingInfoID=2150&houseCenterID=&wsqyCount=,881,::1,-,200
2023-02-17,05:57:09,::1,GET,/Reg/ApiYszjjg/Fdc/CheckWSQY,action=&DeveloperID=10161&buildingInfoID=2150&houseCenterID=204140&wsqyCount=0,881,::1,-,200
2023-02-17,05:57:09,::1,GET,/Reg/ApiYszjjg/Fdc/GetBuildingRegulatoryBank,buildingInfoID=%222150%22,881,::1,-,200
2023-02-17,05:57:27,::1,GET,/Reg/ApiYszjjg/Fdc/GetBuildingRegulatoryBank,buildingInfoID=%222150%22,881,::1,-,200
2023-02-17,05:57:33,10.115.98.108,GET,/Reg/Contract/ContractEditDialog,Action=Sign&_=1676613330966,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,05:57:39,10.115.98.108,GET,/BZF/Hsis/GetImageCode,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:57:39,10.115.98.108,GET,/favicon.ico,-,881,106.6.165.59,"Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36",200
2023-02-17,05:57:39,::1,GET,/Reg/ApiYszjjg/Fdc/CheckWSQY,action=developer&DeveloperID=10161&buildingInfoID=2150&houseCenterID=&wsqyCount=,881,::1,-,200
2023-02-17,05:57:39,::1,GET,/Reg/ApiYszjjg/Fdc/CheckWSQY,action=&DeveloperID=10161&buildingInfoID=2150&houseCenterID=204140&wsqyCount=0,881,::1,-,200
2023-02-17,05:57:40,::1,GET,/Reg/ApiYszjjg/Fdc/GetBuildingRegulatoryBank,buildingInfoID=%222150%22,881,::1,-,200
2023-02-17,05:57:40,::1,GET,/Reg/ApiFdcLan/ZsBdcdj/HouseStatusByLan,FromSystemName=%E5%95%86%E5%93%81%E6%88%BF%E7%BD%91%E7%AD%BE%E7%B3%BB%E7%BB%9F_%E4%B8%9A%E5%8A%A1&HouseCenterID=204140&BDCBSM=,881,::1,-,200
2023-02-17,05:57:42,::1,GET,/Reg/ApiYszjjg/Fdc/CheckFirstPayment,LicenceID=202300590&BuildingInfoID=2150,881,::1,-,200
2023-02-17,05:57:42,10.115.98.108,GET,/Reg/Case/CaseDetail,caseId=152302150035&_=1676613330967,881,59.62.156.124,Mozilla/5.0+(Windows+NT+6.1;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,08:32:45,10.115.98.108,GET,/yszjjg/ApiFdcWan/Yszjjg/BuildingContractList,buildingInfoID=2168,881,10.115.7.253,-,200
2023-02-17,08:33:04,10.115.98.108,GET,/favicon.ico,-,881,111.75.149.56,"Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/86.0.4240.198+Safari/537.36",200
2023-02-17,08:33:04,10.115.98.108,GET,/favicon.ico,-,881,111.75.149.56,"Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/86.0.4240.198+Safari/537.36",200
2023-02-17,08:33:05,10.115.98.108,GET,/favicon.ico,-,881,111.75.149.56,"Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/86.0.4240.198+Safari/537.36",200
2023-02-17,08:33:14,10.115.98.108,GET,/YSZJJG/Content/themes/default/pickbox/pick.png,-,881,218.65.10.138,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
2023-02-17,08:33:15,10.115.98.108,GET,/YSZJJG/Content/themes/default/main/step_arraw.gif,-,881,218.65.10.138,Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko,200
